Date,Open,High,Low,Close,Adj Close,Volume
06-08-2021,442.100006,442.940002,441.799988,442.48999,432.5159,46930000
09-08-2021,442.459991,442.799988,441.309998,442.130005,432.164001,41222600
10-08-2021,442.609985,443.440002,441.880005,442.679993,432.70163,43339300
11-08-2021,443.820007,443.880005,442.619995,443.779999,433.776825,44034300
12-08-2021,443.619995,445.26001,442.660004,445.109985,435.076874,38909400
13-08-2021,445.589996,445.940002,445.070007,445.920013,435.868591,39470300
16-08-2021,444.529999,447.109985,442.869995,446.970001,436.894928,73740000
17-08-2021,444.23999,444.959991,440.850006,444.040009,434.030945,92673900
18-08-2021,442.959991,444.630005,438.920013,439.179993,429.280518,89351900
19-08-2021,436.269989,441.140015,436.119995,439.859985,429.94519,92812200
20-08-2021,440.230011,443.709991,439.709991,443.359985,433.366302,72008700
23-08-2021,445.160004,448.230011,443.440002,447.26001,437.178375,54973000
24-08-2021,447.970001,448.540009,447.420013,447.970001,437.872345,38744700
25-08-2021,448.170013,449.459991,447.769989,448.910004,438.791229,40529700
26-08-2021,448.609985,448.859985,446.160004,446.26001,436.200958,57829600
27-08-2021,447.119995,450.649994,447.059998,450.25,440.101013,77235100
30-08-2021,450.970001,453.070007,450.709991,452.230011,442.036346,48357400
31-08-2021,452.130005,452.48999,450.920013,451.559998,441.3815,59300200
01-09-2021,452.559998,453.109985,451.549988,451.799988,441.616058,48721400
02-09-2021,453.320007,454.049988,451.910004,453.190002,442.974731,42501000
03-09-2021,451.980011,453.630005,451.549988,453.079987,442.867188,47170500
07-09-2021,452.709991,452.809998,450.73999,451.459991,441.283722,51671500
08-09-2021,450.890015,451.670013,448.859985,450.910004,440.746124,56181900
09-09-2021,450.700012,452.570007,448.720001,448.980011,438.85965,57970400
10-09-2021,451.040009,451.48999,445.309998,445.440002,435.399445,89948200
13-09-2021,448.640015,448.920013,444.109985,446.579987,436.513672,83738600
14-09-2021,448.119995,448.339996,443.220001,444.170013,434.158051,78197100
15-09-2021,444.619995,448.410004,443.440002,447.880005,437.784424,78792200
16-09-2021,447.320007,448.359985,444.019989,447.170013,437.090424,77786700
17-09-2021,444.920013,445.369995,441.019989,441.399994,432.832672,118425000
20-09-2021,434.880005,436.559998,428.859985,434.040009,425.61557,166445500
21-09-2021,436.529999,437.910004,433.070007,433.630005,425.213531,92526100
22-09-2021,436.049988,440.029999,433.75,437.859985,429.361389,102350100
23-09-2021,439.850006,444.890015,439.600006,443.179993,434.578156,76396000
24-09-2021,441.440002,444.670013,441.209991,443.910004,435.294006,62094800
27-09-2021,442.809998,444.049988,441.899994,442.640015,434.048645,61371100
28-09-2021,439.690002,440.040009,432.940002,433.720001,425.301758,130436300
29-09-2021,435.190002,437.040009,433.850006,434.450012,426.017578,82329200
30-09-2021,436.019989,436.769989,428.779999,429.140015,420.810699,140506000
01-10-2021,430.980011,436.029999,427.230011,434.23999,425.811676,129240100
04-10-2021,433,433.959991,426.359985,428.640015,420.320374,128570000
05-10-2021,430.23999,435.48999,429.390015,433.100006,424.693787,90682500
06-10-2021,429.269989,435.119995,427.540009,434.899994,426.458862,113032200
07-10-2021,438.390015,441.679993,438.200012,438.660004,430.145874,72437500
08-10-2021,439.480011,439.890015,437.190002,437.859985,429.361389,74557400
11-10-2021,437.160004,440.26001,434.619995,434.690002,426.25296,65233300
12-10-2021,435.670013,436.100006,432.779999,433.619995,425.203705,71181200
13-10-2021,434.709991,436.049988,431.540009,435.179993,426.733459,72974000
14-10-2021,439.079987,442.660004,438.579987,442.5,433.911377,70236800
15-10-2021,444.75,446.26001,444.089996,445.869995,437.215912,66260200
18-10-2021,443.970001,447.549988,443.269989,447.190002,438.510315,62213200
19-10-2021,448.920013,450.709991,448.269989,450.640015,441.893372,46996800
20-10-2021,451.130005,452.730011,451.01001,452.410004,443.629028,49571600
21-10-2021,451.769989,453.829987,451.309998,453.589996,444.786102,41305400
22-10-2021,453.130005,454.670013,451.049988,453.119995,444.325226,58845100
25-10-2021,454.279999,455.899994,452.390015,455.549988,446.708069,45214500
26-10-2021,457.200012,458.48999,455.559998,455.959991,447.110077,56075100
27-10-2021,456.450012,457.160004,453.859985,453.940002,445.129333,72438000
28-10-2021,455.459991,458.399994,455.450012,458.320007,449.424316,51437900
29-10-2021,455.869995,459.559998,455.559998,459.25,450.336212,70162400
01-11-2021,460.299988,460.700012,458.200012,460.040009,451.110931,48433600
